NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
1;Seorang perempuan usia 35 tahun , P1A0, datang ke poli kandungan RS mengatakan saat ini mengalami keputihan , mengeluh sakit, panas di daerah pinggang, perut terasa kembung, nyeri BAK , nyeri daerah simfisis. Hasil pemeriksaan suhu 39 C ,PPV Fluor albus berbau busuk, pemeriksaan dalam nyeri goyang servik, nyeri tekan adneksi bilateral ;Kista Ovarium;Apendisitis;Kehamilan Ektopik;Radang Panggul;Abortus ;4;Penyakit radang panggul (PRP) disebabkan oleh organisme Neisseria gonorrhoea atau chlamydia trachomatis dan mungkin orgaisme yang terlibat dalam vaginosis bakteri. Wanita yang terinfeksi PRP akan mengalami nyeri abdomen bawah, umumnya bilateral yang berat dan ringan . apabila uretra terinfeksi , wanita akan mengalami disuria, inontinensia frekuensi, deman 38C disertaimual dan muntah yang merupakan keparahan klinis penyakit dan menggambarkan terjadinya peritonitis . berdasarkan pemeriksaan panggul akan ditemukan nyeri goyang pada serviks, nyeri tekan adneksa bilateral,dan pembesaran adneksial apabila penyakit ini berkembang di saluran falopii;
2;Seorang perempuan usia 57 tahun, datang ke Praktik Bidan mengeluh pusing, berkeringat banyak, wajah terasa ada semburan panas, dada terasa berdebar debar dan saat melakukan hubungan seksual terasa nyeri. Hasil pemeriksaan : TD 150/90mmhg, N 82x/menit. Hormon apakah yang menyebabkan kondisi tersebut?;Estrogen naik, gonadotropin naik;Estrogen naik, gonadotropin turun;Estrogen turun, gonadotropin turun;Estrogen turun, gonadotropin naik;Progrsteron turun, gonadotropin naik ;4;Meningkatnya hormon gonadotropi (FSH dan LH) serta rendahnya estrogen dapat menimbukan perubahan pembuluh darah yang mengakibatkan terjadinya pelebaran pembuluh darah di daerah wajah, leher dan tengkuk. Hal tersebut menimbulkan rasa panas yang disebut hot ashes. gangguan vasomotor dapat muncul sebagai gejolak panas, keringat banyak, rasa kedinginan, sakit kepala, desing dalam telinga, tekanan darah yang goyah, berdebar-debar, susah bernafas, jari-jari atrofi, dan gangguan usus. gangguan psikis muncul dalam bentuk mudah tersinggung, depresi, kelelahan, semangat berkurang, dan susah tidur.;
3;Seorang perempuan berusia 27 tahun, status obstetri G2P1A0, usia kehamilan 13 minggu datang ke poliklinik kandungan. Ia mengeluh mual muntah setiap makan. Hasil pemeriksaan kondisi umum pasien baik, yakni TD 120/70 mmHg, nadi 86 kali/menit, pernapasan 23 kali/menit, dan suhu tubuh 36,5_ C. Cara mengatasi keluhan pada kasus tersebut adalah ;Mengkonsumsi makanan asam;Mengkonsumsi makanan pedas;Mengkonsumsi cokelat sedikit demi sedikit;Mengkonsumsi cokelat sedikit-sedikit tapi sering;Mengkonsumsi makanan bersantan ;4;Pada umumnya ibu hamil  akan menunjukkan beberapa gejala selama masa kehamilannya seperti mual, mutah, pusing dan badan terasa lemas untuk mengurangi gejala - gejala tersebut dapat dilakukan dengan cara berikut :                            a. Mengkonsumsi makanan yang bernutrisi selama kehamilan              b. Memperbanyak minum air putih c. Menerapkan pola makan yang sedikit tapi sering                                            d. Sebaiknya pasien selalu menyediakan makanan selingan seperti roti atau biskuit                                 e. Pasien bisa mengkonsumsi teh jahe serta permen agar segar untuk mengurangi rasa mual dan muntah   f. Bidan bisa menganjurkan ibu untuk beristirahat dan tidak melakukan aktifitas berat g. Menciptakan suasana yang aman, nyaman, rileks dan bersih agar mengurangi rasa cemas pasien sehingga bisa melewati kehamilannya dengan tenang;
4;"Seorang perempuan usia 32 tahun P3A0  datang ke puskesmas ingin berkonsultasi KB . Anak terakhir berusia 1 bulan dan belum mendapatkan haid. Ibu merupakan wanita karir  sehingga ia  takut jika lupa meminumnya. Hasil pemeriksaan TD 150/90mmHg
apa jenis kontrasepsi yang sesuai untuk klien tersebut?
";MAL;Suntik progestin ;Suntik Kombinasi;IUD;Implan;4;Metode IUD merupakan metode yang efektif dan merupakan metode jangka panjang tidak mengandung hormon apapun, metode ini tidak mempengaruhi produksi ASI dan dapat digunakan pada ibu yang memiliki berbagai riwayat penyakit seperti tumor, kanker, hipertensi, penyakit jantung, diabetes, TBC;
5;Pengeluaran ASI, dipengaruhi oleh hormon;Human placental lactogen;Estrogen;Progesteron;Prolaktin;Oksitosin;5;Proses pengeluaran ASI dipengaruhi oleh hormon oksitosin. Isapan bayi memberikan rangsangan yang menghasilkan hormon prolaktin untuk memproduksi ASI. Rangsangan tersebut kemudian menuju neurohipofisis dan menhlasilkan hormon oksitosin. Hormon ini dibawa oleh darah menuju uterus sehingga menyebabkan uterus berkontraksi dan terjadi involusi uterus. Pada saat hormon ini sampai pada alveoli, akan timbul kontraksi sehingga ASI akan menuju duktus laktiferus dan masuk ke dalam mulut bayi.;
6;Tujuan pemberian ASI sedini mungkin atau early initiation adalah;Menjaga kehangatan bayi;Produksi air susu ibu menjadi lancar;Risiko kegagalan ASI eksklusif berulang;Terbentuknys ikatan batin antara ibu dan bayi;Semua jawaban benar;5;Tujuan pemberian ASI sedini mungkin atau early initiation ialah menjaga kehangatan bayi, produksi ASI menjadi lancar, risiko kegagalan ASI eksklusif berkurang, serta terbentuknya ikatan batin antara ibu dan bayi. Jadi, pilihan jawaban di atas adalah semua jawaban benar.;
7;Pemberian ASI sedini mungkin dilakukan minimal É. Setelah lahir.;5 menit;10 menit;20 menit;30 menit;60 menit;5;Pemberian ASI sedini mungkin dilakukan setidaknya 60 menit atau satu jam sesudah persalinan. Tindakan tersebut sangat penting untuk mengetahui apakah bayi akan mendapatkan cukup ASI atau tidak. Hal ini didasari oleh peran hormon yang menghasilkan ASI yaitu hormon prolaktin. Hormon ini akan menurun satu jam setelah persalinan karena plasenta sudah keluar.;
8;"Di bawah ini yang tidak berkaitan dengan manfaat perawatan payudara adalah
";melancarkan sirkulasi darah;Mencegah tersumbatnya saluran ASI;Pengeluaran ASI menjadi lancar;Dimulai sejak sebelum hamil;Menghambat pengeluaran ASI;4;Hal ini tidak berkaitan dengan perawatan payudara adalah perawatan yang dimulai sebelum hamil. Manfaat dari melakukan perawatan payudara saat hamil ialah untuk melancarkan sirkulasi darah, mencegah tersumbatnya saluran ASI sehingga memperlancar pemberian ASI dan menghindari kesulitan saat menyusui seperti puting lecet, produksi ASI tidak lancar, serta pembengkakan payudara.;
9;Tanda bayi dalam posisi yang baik pada saat penyusu adalah;Tubuh bayi berjauhan dengan badan ibu;areola tampak jelas;bayi mengisap dengan cepat dan dangkal;Biayi terlihat senang dan tenang;Ibu merasa nyeri pada payudaranya;4;Tanda bayi dalam posisi yang baik pada saat menyusu adalah bayi terlihat senang dan tenang. Beberapa tanda lainnya ialah tubuh bayi dekat dan mengarah pada ibu, mulut dan dagu bayi dekat dengan payudara, sebagian besar ereola masuk ke mulut bayi, bayi mengisap dan menelan ASI dengan perlahan, serta ibutidak merasa nueri ketika menyusui.;
10;Bidan merujuk pasien berusia 32 tahun, status obstetri G2P0A1 dan usia kehamilan 36 minggu ke RSUD dengan kondisi pasien tidak sadar serta mengalami kejang Ğ kejang. Hasil pemeriksaan tekanan darah 160/110 mmHg denyut nadi 110x/ menit frekuensi nafas 16 x/menit, denyut jantung janin tidak teratur serta terdapat edema pada wajah, tangan dan kaki. Berdasarkan data subjektif tersebut, diagnosa yang sesuai adalah;Eklampsia;Preeklamsia berat;Preeklamsia ringan;Preeklamsia sedang;Superimposed preeklampsia;1;Adanya kejang, TD diastole 110 mmHg, Edema ekstrimitas merupakan tanda Eklampsia;
